chain;date;nb_holders
Fantom;2021-11-11;0
Fantom;2021-11-12;0
Fantom;2021-11-13;0
Fantom;2021-11-14;0
Fantom;2021-11-15;0
Fantom;2021-11-16;0
Fantom;2021-11-17;0
Fantom;2021-11-18;0
Fantom;2021-11-19;0
Fantom;2021-11-20;0
Fantom;2021-11-21;0
Fantom;2021-11-22;0
Fantom;2021-11-23;0
Fantom;2021-11-24;0
Fantom;2021-11-25;0
Fantom;2021-11-26;0
Fantom;2021-11-27;0
Fantom;2021-11-28;1
Fantom;2021-11-29;1
Fantom;2021-11-30;2
Fantom;2021-12-01;2
Fantom;2021-12-02;2
Fantom;2021-12-03;3
Fantom;2021-12-04;3
Fantom;2021-12-05;4
Fantom;2021-12-06;7
Fantom;2021-12-07;7
Fantom;2021-12-08;7
Fantom;2021-12-09;9
Fantom;2021-12-10;12
Fantom;2021-12-11;12
Fantom;2021-12-12;61
Fantom;2021-12-13;85
Fantom;2021-12-14;95
Fantom;2021-12-15;99
Fantom;2021-12-16;105
Fantom;2021-12-17;116
Fantom;2021-12-18;113
Fantom;2021-12-19;119
Fantom;2021-12-20;123
Fantom;2021-12-21;121
Fantom;2021-12-22;123
Fantom;2021-12-23;126
Fantom;2021-12-24;174
Fantom;2021-12-25;207
Fantom;2021-12-26;226
Fantom;2021-12-27;239
Fantom;2021-12-28;253
Fantom;2021-12-29;260
Fantom;2021-12-30;264
Fantom;2021-12-31;275
Fantom;2022-01-01;281
Fantom;2022-01-02;296
Fantom;2022-01-03;313
Fantom;2022-01-04;329
Fantom;2022-01-05;358
Fantom;2022-01-06;367
Fantom;2022-01-07;378
Fantom;2022-01-08;376
Fantom;2022-01-09;379
Fantom;2022-01-10;380
Fantom;2022-01-11;390
Fantom;2022-01-12;418
Fantom;2022-01-13;433
Fantom;2022-01-14;468
Fantom;2022-01-15;479
Fantom;2022-01-16;491
Fantom;2022-01-17;509
Fantom;2022-01-18;546
Fantom;2022-01-19;544
Fantom;2022-01-20;545
Fantom;2022-01-21;553
Fantom;2022-01-22;553
Fantom;2022-01-23;555
Fantom;2022-01-24;567
Fantom;2022-01-25;564
Fantom;2022-01-26;579
Fantom;2022-01-27;597
Fantom;2022-01-28;605
Fantom;2022-01-29;636
Fantom;2022-01-30;668
Fantom;2022-01-31;685
Fantom;2022-02-01;694
Fantom;2022-02-02;729
Fantom;2022-02-03;745
Fantom;2022-02-04;753
Fantom;2022-02-05;758
Fantom;2022-02-06;774
Fantom;2022-02-07;794
Fantom;2022-02-08;805
Fantom;2022-02-09;811
Fantom;2022-02-10;824
Fantom;2022-02-11;830
Fantom;2022-02-12;822
Fantom;2022-02-13;823
Fantom;2022-02-14;831
Fantom;2022-02-15;835
Fantom;2022-02-16;837
Fantom;2022-02-17;850
Fantom;2022-02-18;850
Fantom;2022-02-19;851
Fantom;2022-02-20;851
Fantom;2022-02-21;842
Fantom;2022-02-22;845
Fantom;2022-02-23;847
Fantom;2022-02-24;851
Fantom;2022-02-25;863
Fantom;2022-02-26;862
Fantom;2022-02-27;853
Fantom;2022-02-28;850
Fantom;2022-03-01;855
Fantom;2022-03-02;855
Fantom;2022-03-03;850
Fantom;2022-03-04;858
Fantom;2022-03-05;856
Fantom;2022-03-06;849
Fantom;2022-03-07;854
Fantom;2022-03-08;852
Fantom;2022-03-09;855
Fantom;2022-03-10;852
Fantom;2022-03-11;842
Fantom;2022-03-12;848
Fantom;2022-03-13;850
Fantom;2022-03-14;846
Fantom;2022-03-15;844
Fantom;2022-03-16;852
Fantom;2022-03-17;852
Fantom;2022-03-18;840
Fantom;2022-03-19;841
Fantom;2022-03-20;842
Fantom;2022-03-21;842
Fantom;2022-03-22;844
Fantom;2022-03-23;844
Fantom;2022-03-24;849
Fantom;2022-03-25;859
Fantom;2022-03-26;873
Fantom;2022-03-27;884
Fantom;2022-03-28;887
Fantom;2022-03-29;899
Fantom;2022-03-30;891
Fantom;2022-03-31;886
Fantom;2022-04-01;889
Fantom;2022-04-02;899
Fantom;2022-04-03;910
Fantom;2022-04-04;908
Fantom;2022-04-05;897
Fantom;2022-04-06;895
Fantom;2022-04-07;899
Fantom;2022-04-08;892
Fantom;2022-04-09;893
Fantom;2022-04-10;892
Polygon;2021-11-01;0
Polygon;2021-11-02;0
Polygon;2021-11-03;0
Polygon;2021-11-04;0
Polygon;2021-11-05;0
Polygon;2021-11-06;0
Polygon;2021-11-07;0
Polygon;2021-11-08;0
Polygon;2021-11-09;0
Polygon;2021-11-10;0
Polygon;2021-11-11;0
Polygon;2021-11-12;0
Polygon;2021-11-13;0
Polygon;2021-11-14;0
Polygon;2021-11-15;0
Polygon;2021-11-16;0
Polygon;2021-11-17;0
Polygon;2021-11-18;0
Polygon;2021-11-19;0
Polygon;2021-11-20;0
Polygon;2021-11-21;0
Polygon;2021-11-22;0
Polygon;2021-11-23;0
Polygon;2021-11-24;0
Polygon;2021-11-25;0
Polygon;2021-11-26;0
Polygon;2021-11-27;0
Polygon;2021-11-28;0
Polygon;2021-11-29;0
Polygon;2021-11-30;0
Polygon;2021-12-01;6
Polygon;2021-12-02;10
Polygon;2021-12-03;18
Polygon;2021-12-04;19
Polygon;2021-12-05;20
Polygon;2021-12-06;23
Polygon;2021-12-07;25
Polygon;2021-12-08;30
Polygon;2021-12-09;30
Polygon;2021-12-10;36
Polygon;2021-12-11;39
Polygon;2021-12-12;55
Polygon;2021-12-13;135
Polygon;2021-12-14;248
Polygon;2021-12-15;303
Polygon;2021-12-16;376
Polygon;2021-12-17;435
Polygon;2021-12-18;474
Polygon;2021-12-19;533
Polygon;2021-12-20;602
Polygon;2021-12-21;639
Polygon;2021-12-22;681
Polygon;2021-12-23;697
Polygon;2021-12-24;730
Polygon;2021-12-25;751
Polygon;2021-12-26;766
Polygon;2021-12-27;786
Polygon;2021-12-28;792
Polygon;2021-12-29;809
Polygon;2021-12-30;830
Polygon;2021-12-31;834
Polygon;2022-01-01;841
Polygon;2022-01-02;846
Polygon;2022-01-03;866
Polygon;2022-01-04;899
Polygon;2022-01-05;919
Polygon;2022-01-06;920
Polygon;2022-01-07;934
Polygon;2022-01-08;934
Polygon;2022-01-09;960
Polygon;2022-01-10;976
Polygon;2022-01-11;1026
Polygon;2022-01-12;1055
Polygon;2022-01-13;1079
Polygon;2022-01-14;1098
Polygon;2022-01-15;1113
Polygon;2022-01-16;1133
Polygon;2022-01-17;1154
Polygon;2022-01-18;1215
Polygon;2022-01-19;1223
Polygon;2022-01-20;1239
Polygon;2022-01-21;1237
Polygon;2022-01-22;1223
Polygon;2022-01-23;1229
Polygon;2022-01-24;1243
Polygon;2022-01-25;1255
Polygon;2022-01-26;1258
Polygon;2022-01-27;1258
Polygon;2022-01-28;1261
Polygon;2022-01-29;1260
Polygon;2022-01-30;1265
Polygon;2022-01-31;1268
Polygon;2022-02-01;1277
Polygon;2022-02-02;1303
Polygon;2022-02-03;1314
Polygon;2022-02-04;1320
Polygon;2022-02-05;1343
Polygon;2022-02-06;1348
Polygon;2022-02-07;1355
Polygon;2022-02-08;1354
Polygon;2022-02-09;1369
Polygon;2022-02-10;1387
Polygon;2022-02-11;1423
Polygon;2022-02-12;1436
Polygon;2022-02-13;1438
Polygon;2022-02-14;1445
Polygon;2022-02-15;1467
Polygon;2022-02-16;1475
Polygon;2022-02-17;1469
Polygon;2022-02-18;1474
Polygon;2022-02-19;1472
Polygon;2022-02-20;1482
Polygon;2022-02-21;1481
Polygon;2022-02-22;1483
Polygon;2022-02-23;1486
Polygon;2022-02-24;1494
Polygon;2022-02-25;1492
Polygon;2022-02-26;1500
Polygon;2022-02-27;1500
Polygon;2022-02-28;1499
Polygon;2022-03-01;1503
Polygon;2022-03-02;1511
Polygon;2022-03-03;1506
Polygon;2022-03-04;1511
Polygon;2022-03-05;1512
Polygon;2022-03-06;1518
Polygon;2022-03-07;1516
Polygon;2022-03-08;1516
Polygon;2022-03-09;1527
Polygon;2022-03-10;1535
Polygon;2022-03-11;1539
Polygon;2022-03-12;1540
Polygon;2022-03-13;1545
Polygon;2022-03-14;1552
Polygon;2022-03-15;1550
Polygon;2022-03-16;1556
Polygon;2022-03-17;1563
Polygon;2022-03-18;1569
Polygon;2022-03-19;1568
Polygon;2022-03-20;1570
Polygon;2022-03-21;1581
Polygon;2022-03-22;1588
Polygon;2022-03-23;1599
Polygon;2022-03-24;1610
Polygon;2022-03-25;1621
Polygon;2022-03-26;1629
Polygon;2022-03-27;1636
Polygon;2022-03-28;1641
Polygon;2022-03-29;1637
Polygon;2022-03-30;1642
Polygon;2022-03-31;1637
Polygon;2022-04-01;1637
Polygon;2022-04-02;1632
Polygon;2022-04-03;1633
Polygon;2022-04-04;1636
Polygon;2022-04-05;1642
Polygon;2022-04-06;1637
Polygon;2022-04-07;1636
Polygon;2022-04-08;1633
Polygon;2022-04-09;1637
Polygon;2022-04-10;1641
Moonriver;2021-11-01;0
Moonriver;2021-11-02;0
Moonriver;2021-11-03;0
Moonriver;2021-11-04;0
Moonriver;2021-11-05;0
Moonriver;2021-11-06;0
Moonriver;2021-11-07;0
Moonriver;2021-11-08;0
Moonriver;2021-11-09;0
Moonriver;2021-11-10;0
Moonriver;2021-11-11;0
Moonriver;2021-11-12;0
Moonriver;2021-11-13;0
Moonriver;2021-11-14;0
Moonriver;2021-11-15;0
Moonriver;2021-11-16;0
Moonriver;2021-11-17;0
Moonriver;2021-11-18;0
Moonriver;2021-11-19;0
Moonriver;2021-11-20;0
Moonriver;2021-11-21;0
Moonriver;2021-11-22;0
Moonriver;2021-11-23;0
Moonriver;2021-11-24;0
Moonriver;2021-11-25;0
Moonriver;2021-11-26;0
Moonriver;2021-11-27;0
Moonriver;2021-11-28;0
Moonriver;2021-11-29;0
Moonriver;2021-11-30;0
Moonriver;2021-12-01;3
Moonriver;2021-12-02;2
Moonriver;2021-12-03;2
Moonriver;2021-12-04;3
Moonriver;2021-12-05;3
Moonriver;2021-12-06;3
Moonriver;2021-12-07;3
Moonriver;2021-12-08;3
Moonriver;2021-12-09;5
Moonriver;2021-12-10;5
Moonriver;2021-12-11;5
Moonriver;2021-12-12;4
Moonriver;2021-12-13;4
Moonriver;2021-12-14;4
Moonriver;2021-12-15;4
Moonriver;2021-12-16;4
Moonriver;2021-12-17;4
Moonriver;2021-12-18;4
Moonriver;2021-12-19;4
Moonriver;2021-12-20;4
Moonriver;2021-12-21;4
Moonriver;2021-12-22;4
Moonriver;2021-12-23;4
Moonriver;2021-12-24;4
Moonriver;2021-12-25;5
Moonriver;2021-12-26;5
Moonriver;2021-12-27;5
Moonriver;2021-12-28;5
Moonriver;2021-12-29;5
Moonriver;2021-12-30;5
Moonriver;2021-12-31;5
Moonriver;2022-01-01;5
Moonriver;2022-01-02;5
Moonriver;2022-01-03;6
Moonriver;2022-01-04;7
Moonriver;2022-01-05;7
Moonriver;2022-01-06;15
Moonriver;2022-01-07;22
Moonriver;2022-01-08;28
Moonriver;2022-01-09;30
Moonriver;2022-01-10;29
Moonriver;2022-01-11;21
Moonriver;2022-01-12;20
Moonriver;2022-01-13;20
Moonriver;2022-01-14;20
Moonriver;2022-01-15;22
Moonriver;2022-01-16;25
Moonriver;2022-01-17;29
Moonriver;2022-01-18;31
Moonriver;2022-01-19;21
Moonriver;2022-01-20;21
Moonriver;2022-01-21;20
Moonriver;2022-01-22;20
Moonriver;2022-01-23;20
Moonriver;2022-01-24;21
Moonriver;2022-01-25;22
Moonriver;2022-01-26;21
Moonriver;2022-01-27;21
Moonriver;2022-01-28;22
Moonriver;2022-01-29;21
Moonriver;2022-01-30;21
Moonriver;2022-01-31;19
Moonriver;2022-02-01;22
Moonriver;2022-02-02;23
Moonriver;2022-02-03;25
Moonriver;2022-02-04;26
Moonriver;2022-02-05;27
Moonriver;2022-02-06;24
Moonriver;2022-02-07;21
Moonriver;2022-02-08;22
Moonriver;2022-02-09;21
